path_cost, Euclidean Distance, Manhattan Distance, Bash50,11.40175425099138,16,0
49,10.816653826391969,15,0
48,10.295630140987,14,0
47,9.848857801796104,13,1
46,9.486832980505138,12,0
43,9.219544457292887,11,1
40,9.055385138137417,10,0
39,9.0,9,1
36,9.055385138137417,10,0
31,9.055385138137417,10,0
28,8.06225774829855,9,0
23,7.0710678118654755,8,1
22,6.082762530298219,7,0
21,5.0990195135927845,6,1
18,4.123105625617661,5,0
15,3.1622776601683795,4,1
12,2.23606797749979,3,0
8,1.4142135623730951,2,0
5,1.0,1,0
3,1.0,1,0
1,0.0,0,0
